objectid,title,creator,date,publisher,publication_place,subject,genre,format,filename,source_link,state,title_variant,creator_variant,digital_notes,research_notes,developer_notes,pictures
al_001,Mothers in Council,"Stella (Scott) Gilman, (pseudonym Marion Vaughn)",1884,Harper & Brothers,New York,Child Rearing; Domestic Science; Conduct,Textbook; Advice Literature,record,https://books.google.com/books?id=4fkaAAAAYAAJ&,https://books.google.com/books?id=4fkaAAAAYAAJ&,Alabama,Mothers in Council,Marion Vaughn ,,,,
ar_002,My Cave Life in Vicksburg.:[sic] With Letters of Trial and Travel by a Lady,Mary Ann (Webster) Loughborough,1864,D. Appleton & Co.,New York,Life Writing; War; Politics; Region & Regionalism,Memoir,record,https://hdl.handle.net/2027/uc2.ark:/13960/t3vt1gx5b,https://hdl.handle.net/2027/uc2.ark:/13960/t3vt1gx5b,Arkansas,My Cave Life in Vicksburg,Mary W. Loughborough,,,Copy in Tulane library,
ca_003,An Arboreal Song of the Alameda (The Beautiful Way),Mary H. (Bacon) Field,1878,The Society,San Francisco,Region & Regionalism; Philosophy & Religion,Poetry; History,record,https://hdl.handle.net/2027/loc.ark:/13960/t5p84vf0t,https://hdl.handle.net/2027/loc.ark:/13960/t5p84vf0t,California,An Arboreal Song of the Almeda,Mary H. Field,,,,Illustrations w/in: https://books.google.com/books/about/An_Arboreal_Song_of_the_Alameda_The_Beau.html?id=dM8qAAAAYAAJ
ca_004,"Cozenza: A Tale of Italy, and Other Poems",Mrs. N. Furlong,1880,B.F. Sterrett,San Francisco,Nationalism,Poetry,record,https://books.google.com/books?id=SwkPAAAAIAAJ&,https://books.google.com/books?id=SwkPAAAAIAAJ&,California,Cozenza: A Tale of Italy and Other Poems,Mrs. N. Furlong,,, ,
ca_005,Dare,Mary W. Glascock,1882,The California Pubishing Company,San Francisco,,Novel,record,https://hdl.handle.net/2027/nyp.33433082303953,https://hdl.handle.net/2027/nyp.33433082303953,California,Dare,Mary W. Glascock,,,,
ca_006,Ho! For Elf-land!,Alice Eliza Kingsbury,1877,A.L. Bancroft,San Francisco,Children's Literature,Stories,record,https://hdl.handle.net/2027/uc2.ark:/13960/t2k64c47x,https://hdl.handle.net/2027/uc2.ark:/13960/t2k64c47x,California,Ho! for Elf Land,"Alice Kingsbury, Mrs. Col. F. M. Cooley",,,,
ca_007,"A System of Practical and Scientific Physiognomy; or, How to Read Faces",Mary Olmstead Stanton,1890,F.A. Davis,Philadelphia,Psychology; Science & Invention; Race,Textbook,record,https://archive.org/details/systemofpractica01staniala,https://archive.org/details/systemofpractica01staniala,California,How to Read Faces,"Mary O. Stanton, M.O. Stanton",,"Link is to a later edition, published after the Exposition.",,
ca_008,Iris: The Romance of an Opal Ring,M. B. M. (Mary Bertha McKenzie) Toland,1879,J.B. Lippincott & Co.,Philadelphia,,Poetry,record,https://hdl.handle.net/2027/uc2.ark:/13960/t6154fq8n,https://hdl.handle.net/2027/uc2.ark:/13960/t6154fq8n,California,Iris: The Romance of an Opal Ring,M. B. M. Toland,,,,
ca_009,Onti Ora: A Metrical Romance,M. B. M. (Mary Bertha McKenzie) Toland,1881,J.B. Lippincott & Co.,Philadelphia,,Poetry,record,https://hdl.handle.net/2027/hvd.hnnuyi,https://hdl.handle.net/2027/hvd.hnnuyi,California,Onti Ora,M. B. M. Toland,,,,
ca_010,On the Verge: A Romance of the Centennial,"Anne Lake Townsend, (pseudonym Philip Shirley)",1879,A.L. Bancroft,San Francisco,,Novel,record,https://hdl.handle.net/2027/umn.31951002381337o,https://hdl.handle.net/2027/umn.31951002381337o,California,On the Verge,"Mrs. A. L. Townsend, Philip Shirley ",,,,
ca_011,Physiognomy: A Practical and Scientific Treatise,Mary Olmstead Stanton,1881,Printed for the Author,San Francisco,Psychology; Science & Invention; Race,Textbook,record,https://hdl.handle.net/2027/loc.ark:/13960/t46q34s22,https://hdl.handle.net/2027/loc.ark:/13960/t46q34s22,California,Physiognomy,"Mary O. Stanton, M.O. Stanton",,,,
ca_012,"A Perfect Day, and Other Poems",Ina D. (Ina Donna) Coolbrith,1881,John H. Carmany & Co,San Francisco,,Poetry,record,https://hdl.handle.net/2027/uc2.ark:/13960/fk6nz81234,https://hdl.handle.net/2027/uc2.ark:/13960/fk6nz81234,California,A Perfect Day and Other Poems,Ina D. Coolbrith,,,,
ca_013,Probate Confiscation: Unjust Laws which Govern Women,Mrs. J. W. Stow,1876,Bacon and Company,Boston,Law; Reform; Suffrage & Women's Rights,Memoir; Textbook,record,https://hdl.handle.net/2027/hvd.hn1fsi,https://hdl.handle.net/2027/hvd.hn1fsi,California,Probate Confiscation: Unjust Laws which Govern Women,"Mrs. J. W. Stow, Marietta Lois Beers Stow",,,,
ca_014,"Probate Chaff; Or, Beautiful Probate; Or, Three Years Probating in San Francisco",Mrs. J. W. Stow,1879,Sold by the Author,New York,Law; Reform; Suffrage & Women's Rights,Memoir; Textbook,record,https://books.google.com/books?id=VZc0AQAAMAAJ&,https://books.google.com/books?id=VZc0AQAAMAAJ&,California,Probate Chaff; Or Beautiful Probate; Three Years Probating in San Francisco ,"Mrs. J. W. Stow, Marietta Lois Beers Stow",,"""A Modern Drama showing the Merry Side of a Dark Picture""",,
ca_015,Secrets Told. With Twenty-two Piquant Illustrations from Life,Alice Eliza Kingsbury,1879,Alta California Printing House,San Francisco,Conduct; Domestic Science; Child Rearing; Women's Work & Culture,Essays; Stories,record,https://hdl.handle.net/2027/uc2.ark:/13960/t74t6gg50,https://hdl.handle.net/2027/uc2.ark:/13960/t74t6gg50,California,Secrets Told,"Alice Kingsbury, Mrs. Col. F. M. Cooley",,Has bookplate from 1893 Exposition concerning California Women Writers,,
ca_016,Short Stories; By California Authors,Ella Sterling Cummins Mighels (editor),1885,Golden Era Company,San Francisco,Region & Regionalism,Stories,record,https://hdl.handle.net/2027/uc2.ark:/13960/t6nz81p88,https://hdl.handle.net/2027/uc2.ark:/13960/t6nz81p88,California,Short Stories by California Authors,"Ella Sterling Cummins, Aurora Esmeralda, J.W. Gally, W.S. Green, Mary Willis Glascock, Wm Atwell Cheney, H.B. McDowell, Ben C. Truman, Harr Wagner",,,,
ca_017,Sir Rae; A Poem,M. B. M. (Mary Bertha McKenzie) Toland,1877,J.B. Lippincott & Co.,Philadelphia,,Poetry,record,https://hdl.handle.net/2027/loc.ark:/13960/t64464w6j,https://hdl.handle.net/2027/loc.ark:/13960/t64464w6j,California,Sir Rae,M. B. M. Toland,,,,
ca_018,The Wings of Courage; Stories for American Boys and Girls,Marie E. Field (translator); George Sand,1878,G.P. Putnam's Sons,New York,Children's Literature; Translation,Stories,record,https://hdl.handle.net/2027/hvd.hn5haj,https://hdl.handle.net/2027/hvd.hn5haj,California,The Wings of Courage,Marie E. Field,,,,
ca_019,Valhalla; The Myths of Norseland; A Saga in Twelve Parts,Julia Clinton Jones,1880,R. Worthington,New York,Literary Scholarship; Philosophy & Religion,Poetry,record,https://hdl.handle.net/2027/loc.ark:/13960/t7xk96r16,https://hdl.handle.net/2027/loc.ark:/13960/t7xk96r16,California,Valhalla,Julia Clinton Jones,,,,
co_020,A Century of Dishonor; A Sketch of the United States Government's Dealings with Some of the Indian Tribes,Helen Hunt Jackson,1881,Harper & Brothers,New York,Reform; Law; Politics; Race,History; Scholarly Work; Report,record,https://hdl.handle.net/2027/uc1.31175035176117,https://hdl.handle.net/2027/uc1.31175035176117,Colorado,A Century of Dishonor,H. H.,,,,
co_021,Bits of Travel,Helen Hunt Jackson,1886,Roberts Brothers,Boston,Travel,Travel Narrative,record,https://hdl.handle.net/2027/loc.ark:/13960/t10p1r65j,https://hdl.handle.net/2027/loc.ark:/13960/t10p1r65j,Colorado,Bits of Travel,H. H.,,,,
co_022,"Bits of Talk; In Verse and Prose, for Young Folks",Helen Hunt Jackson,1876,Roberts Brothers,Boston,Children's Literature,Poetry,record,https://hdl.handle.net/2027/uc2.ark:/13960/fk1dj58h1r,https://hdl.handle.net/2027/uc2.ark:/13960/fk1dj58h1r,Colorado,"Bits of Talk, In Verse and Prose, for Young Folks",H. H.,,,,
co_023,Bits of Travel at Home,Helen Hunt Jackson,1878,Roberts Brothers,Boston,Travel,Travel Narrative,record,https://hdl.handle.net/2027/hvd.hwrcdn,https://hdl.handle.net/2027/hvd.hwrcdn,Colorado,Bits of Travel at Home,H. H.,,,,
co_024,Bits of Talk about Home Matters,Helen Hunt Jackson,1873,Roberts Brothers,Boston,Child Rearing; Conduct; Domestic Science; Marriage; Reform,Essays; Advice Literature,record,https://hdl.handle.net/2027/pst.000012544882,https://hdl.handle.net/2027/pst.000012544882,Colorado,Bits of Talk about Home Matters,H. H.,,,,
co_025,Juanita; and other Sketches,Jennie L. Hopkins,1884,The Zalinger Press,Denver,Children's Literature,Stories,record,https://hdl.handle.net/2027/nyp.33433112008879,https://hdl.handle.net/2027/nyp.33433112008879,Colorado,Juanita and other Sketches,Jennie L. Hopkins,,,,
co_026,Letters from a Cat; Published by Her Mistress for the Benefit of All Cats and the Amusement of Little Children,Helen Hunt Jackson,1879,Roberts Brothers,Boston,Children's Literature,Stories,record,https://hdl.handle.net/2027/hvd.hn5hi7,https://hdl.handle.net/2027/hvd.hn5hi7,Colorado,Letters from a Cat,H. H.,,,,
co_027,Nelly's Silver Mine; A Story of Colorado Life,Helen Hunt Jackson,1878,Roberts Brothers,Boston,Children's Literature,Novel,record,https://hdl.handle.net/2027/uc2.ark:/13960/t9668bm5v,https://hdl.handle.net/2027/uc2.ark:/13960/t9668bm5v,Colorado,Nellie's Silver-Mine: A Story of Colorado Life,H. H.,,,,
co_028,Mammy Tittleback and her Family; A True Story of Seventeen Cats,Helen Hunt Jackson,1881,Roberts Brothers,Boston,Children's Literature,Novel,record,https://hdl.handle.net/2027/njp.32101046516058,https://hdl.handle.net/2027/njp.32101046516058,Colorado,Mammy Tittleback and her Family,H. H.,,,,
co_029,Ramona; A Story,Helen Hunt Jackson,1884,Roberts Brothers,Boston,Politics; Race; Reform,Novel,record,https://hdl.handle.net/2027/mdp.39015009132385,https://hdl.handle.net/2027/mdp.39015009132385,Colorado,Ramona,H. H.,,,,
co_030,The Hunter Cats of Connorloa,Helen Hunt Jackson,1884,Roberts Brothers,Boston,Children's Literature,Novel,record,https://hdl.handle.net/2027/nyp.33433081580486,https://hdl.handle.net/2027/nyp.33433081580486,Colorado,The Hunter Cats of Connorloa,H. H.,,,,
co_031,Verses,Helen Hunt Jackson,1872,Roberts Brothers,Boston,,Poetry,record,https://hdl.handle.net/2027/miun.aje0712.0001.001,https://hdl.handle.net/2027/miun.aje0712.0001.001,Colorado,Verses,H. H.,,,,
co_032,Tales of the Colorado Pioneers,Alice Polk Hill,1884,Pierson & Gardner,Denver,Region & Regionalism,History; Stories,record,https://hdl.handle.net/2027/yale.39002015879951,https://hdl.handle.net/2027/yale.39002015879951,Colorado,Tales of the Colorado Pioneers,Alice Polk Hill,,,,
ct_033,"A Child's Poems; From October to October, 1870-1871",Lucy Robinson,1872,"Case, Lockwood & Brainard",Hartford,Children's Literature,Poetry,record,https://hdl.handle.net/2027/uc2.ark:/13960/t1rf5kp46,https://hdl.handle.net/2027/uc2.ark:/13960/t1rf5kp46,Connecticut,"A Child's Poems From October to October, 1870 - 1871","Lucy Catlin Bull, Lucy Catlin Bull Robinson",,,,
ct_034,A Noble Woman,Ann S. (Ann Sophia) Stephens,1871,T.B. Peterson & Brothers,Philadelphia,,Novel,record,https://hdl.handle.net/2027/nyp.33433076021579,https://hdl.handle.net/2027/nyp.33433076021579,Connecticut,A Noble Woman,Ann S. Stephens,,,,
ct_035,A Song and a Sigh,Rose Porter,1877,Anson D. F. Randolph & Company,New York,,Novel,record,https://hdl.handle.net/2027/coo.31924022498574,https://hdl.handle.net/2027/coo.31924022498574,Connecticut,A Song and a Sigh,Rose Porter,,,,
ct_036,Agnes of Sorrento,Harriet Beecher Stowe,1869,"Fields, Osgood & Co.",Boston,Region & Regionalism; War; Fine Arts,Novel,record,https://hdl.handle.net/2027/hvd.hwpa9s,https://hdl.handle.net/2027/hvd.hwpa9s,Connecticut,Agnes of Sorrento,H. B. Stowe,,,,
ct_037,Among the Daisies,Edith Beach,1883,American Publishing Company,Hartford,,Poetry,record,https://hdl.handle.net/2027/hvd.32044046616132,https://hdl.handle.net/2027/hvd.32044046616132,Connecticut,Among the Daisies,"Edith Beach, E. B.",,,,
ct_038,Bertha's Engagement,Ann S. (Ann Sophia) Stephens,1875,T.B. Peterson & Brothers,Philadelphia,,Novel,record,https://hdl.handle.net/2027/nyp.33433076022577,https://hdl.handle.net/2027/nyp.33433076022577,Connecticut,Bertha's Engagement,Ann S. Stephens,,,,
ct_039,Bellehood and Bondage,Ann S. (Ann Sophia) Stephens,1873,T.B. Peterson & Brothers,Philadelphia,,Novel,record,https://hdl.handle.net/2027/nyp.33433076022585,https://hdl.handle.net/2027/nyp.33433076022585,Connecticut,Bellehood and Bondage,Ann S. Stephens,,,,
ct_040,Brightside,E. Bedell (Elizabeth Bedell) Benjamin,1873,Robert Carter & Brothers,New York,Children's Literature; Philosophy & Religion,Novel,record,https://archive.org/details/brightside00benj,https://archive.org/details/brightside00benj,Connecticut,Brightside,E. Bedell Benjamin,,,,
ct_041,The Brightside Children,E. Bedell (Elizabeth Bedell) Benjamin,1873,Robert Carter & Brothers,New York,Children's Literature; Philosophy & Religion,Novel,record,https://archive.org/details/brightside00benj/page/n5,https://archive.org/details/brightside00benj/page/n5,Connecticut,Brightside Children,E. Bedell Benjamin,,Also included in the New York section.,,
ct_042,Cape Cod Folks,Sarah Pratt McLean Greene,1881,A. Williams & Company,Boston,,Novel,record,https://hdl.handle.net/2027/hvd.hn5fuv,https://hdl.handle.net/2027/hvd.hn5fuv,Connecticut,Cape Cod Folks,Sally Pratt McLean,,,,
ct_043,"Charity, Sweet Charity",Rose Porter,1880,Anson D. F. Randolph & Company,New York,Philosophy & Religion,Novel,record,https://hdl.handle.net/2027/wu.89098003551,https://hdl.handle.net/2027/wu.89098003551,Connecticut,"Charity, Sweet Charity",Rose Porter,,,,
ct_044,The Curse of Gold,Ann S. (Ann Sophia) Stephens,1869,T.B. Peterson & Brothers,Philadelphia,,Novel,record,https://hdl.handle.net/2027/nyp.33433076022569,https://hdl.handle.net/2027/nyp.33433076022569,Connecticut,Curse of Gold,Ann S. Stephens,,,,
ct_045,Doubly False,Ann S. (Ann Sophia) Stephens,1868,T.B. Peterson & Brothers,Philadelphia,,Novel,record,https://hdl.handle.net/2027/nyp.33433076022551,https://hdl.handle.net/2027/nyp.33433076022551,Connecticut,Doubly False,Ann S. Stephens,,,,
ct_046,Eleven Months in Horeb; Being the Period of the National and Religious Education of the Israelites,E. Bedell (Elizabeth Bedell) Benjamin,1869,Anson D.F. Randolph & Company,New York,Philosophy & Religion,Textbook; Religious Instruction,record,https://hdl.handle.net/2027/nnc1.cr59885700,https://hdl.handle.net/2027/nnc1.cr59885700,Connecticut,Eleven Months in Horeb,E. Bedell Benjamin,,,,
ct_047,Fashion and Famine,Ann S. (Ann Sophia) Stephens,1854,T.B. Peterson & Brothers,Philadelphia,,Novel,record,https://hdl.handle.net/2027/hvd.rsl27i,https://hdl.handle.net/2027/hvd.rsl27i,Connecticut,Fashion and Famine,Ann S. Stephens,,,,
ct_048,Footsteps of the Master,Harriet Beecher Stowe,1877,J.B. Ford & Company,New York,Philosophy & Religion,Religious Instruction,record,https://hdl.handle.net/2027/loc.ark:/13960/t5bc54g78,https://hdl.handle.net/2027/loc.ark:/13960/t5bc54g78,Connecticut,Footsteps of the Master,H. Beecher Stowe,,,,
ct_049,Foregleams of Immortality; and an In Memoriam,Rose Porter,1884,Anson D.F. Randolph & Company,New York,Philosophy & Religion,Religious Instruction,record,https://archive.org/details/foregleamsofimmo00port,https://archive.org/details/foregleamsofimmo00port,Connecticut,Foregleams of Immortality,Rose Porter,,,,
